accent,word,yomi,english
シ/リト\リ,尻取り,しりとり,
シ/リヌ\グイ,尻拭い,しりぬぐい,
シ\リメ/ツレツ,支離滅裂,しりめつれつ,
シ\リョ,思慮,しりょ,
シ\リョウ,飼料,しりょう,
シ\リョウ,資料,しりょう,
シ\リョク,視力,しりょく,
シ/リ\ーズ,シリーズ,しりーず,
シ/ル,知る,しる,
シ\ル,汁,しる,
シ\ルク,シルク,しるく,silk
シ/ルクロ\ード,シルクロード,しるくろーど,Silk Road
シ/ルシ,印,しるし,
シ/ルス,印す,しるす,
シ/ルス,記す,しるす,
シ\ルバー,シルバー,しるばー,silver
シ/ルバーシ\ート,シルバーシート,しるばーしーと,silver seat
シ\レイ,指令,しれい,
シ\レイ,司令,しれい,
シ/レル,知れる,しれる,
シ\レン,試練,しれん,
シ/ロ,城,しろ,
シ\ロ,白,しろ,
シ/ロ\イ,白い,しろい,
シ\ロウト,素人,しろうと,
シ/ロオビ,白帯,しろおび,
シ\ロップ,シロップ,しろっぷ,siroop
シ/ロハタ,白旗,しろはた,
シ/ワ,皺,しわ,
シ\ン,真,しん,
シ\ン,芯,しん,
シ/ンアイ,親愛,しんあい,
シ/ンイリ,新入り,しんいり,
シ/ンオ\オクボ,新大久保,しんおおくぼ,
シ\ンカ,真価,しんか,
シ\ンカ,進化,しんか,
シ\ンカ,臣下,しんか,
シ/ンカイ,深海,しんかい,
シ/ンカ\ンセン,新幹線,しんかんせん,
シ/ンガイ,侵害,しんがい,
シ/ンガイ,心外,しんがい,
シ/ンガオ,新顔,しんがお,
シ/ンガク,神学,しんがく,
シ/ンガク,進学,しんがく,
シ/ンガク\リツ,進学率,しんがくりつ,
シ/ンガタ,新型,しんがた,
シ/ンガ\ッキ,新学期,しんがっき,
シ/ンガポ\ール,シンガポール,しんがぽーる,Singapore
シ\ンガー,シンガー,しんがー,singer
シ\ンキ,新規,しんき,
シ\ンキイ/ッテン,心機一転,しんきいってん,
シ/ンキュウ,進級,しんきゅう,
シ\ンキュウ,新旧,しんきゅう,
シ\ンキョ,新居,しんきょ,
シ/ンキョウ,心境,しんきょう,
シ/ンキ\ロウ,蜃気楼,しんきろう,
シ/ンキ\ロク,新記録,しんきろく,
シ/ンキンコ\ウソク,心筋梗塞,しんきんこうそく,
シ\ンギ,審議,しんぎ,
シ\ンギ,信義,しんぎ,
シ\ンギ,真偽,しんぎ,
シ/ンクウ,真空,しんくう,
シ/ンクロ,シンクロ,しんくろ,synchronize
シ\ング,寝具,しんぐ,
シ\ングル,シングル,しんぐる,single
シ\ンケイ,神経,しんけい,
シ/ンケイカ,神経科,しんけいか,
シ/ンケ\イシツ,神経質,しんけいしつ,
シ/ンケン,親権,しんけん,
シ/ンケン,真剣,しんけん,
シ/ンケンショ\ウブ,真剣勝負,しんけんしょうぶ,
シ\ンゲツ,新月,しんげつ,
シ/ンゲン,進言,しんげん,
シ/ンゲン,震源,しんげん,
シ/ンゲ\ンチ,震源地,しんげんち,
シ/ンコ\イワ,新小岩,しんこいわ,
シ/ンコウ,信仰,しんこう,
シ/ンコウ,侵攻,しんこう,
シ/ンコウ,親交,しんこう,
シ/ンコウ,進行,しんこう,
シ/ンコウケイ,進行形,しんこうけい,
シ/ンコ\キュウ,深呼吸,しんこきゅう,
シ/ンコク,深刻,しんこく,
シ/ンコク,申告,しんこく,
シ/ンコクショ\,申告書,しんこくしょ,
シ/ンコン,新婚,しんこん,
シ/ンコンリョ\コウ,新婚旅行,しんこんりょこう,
シ/ンゴ,新語,しんご,
シ/ンゴウ,信号,しんごう,
シ/ンゴ\ウキ,信号機,しんごうき,
シ/ンゴウマチ,信号待ち,しんごうまち,
シ\ンサ,審査,しんさ,
シ/ンサイ,震災,しんさい,
シ/ンサ\イン,審査員,しんさいん,
シ/ンサク,新作,しんさく,
シ/ンサツ,新札,しんさつ,
シ/ンサツ,診察,しんさつ,
シ/ンサツ\ケン,診察券,しんさつけん,
シ/ンサツ\シツ,診察室,しんさつしつ,
シ/ンサツ\ビ,診察日,しんさつび,
シ\ンシ,紳士,しんし,
シ\ンシ,真摯,しんし,
シ/ンシツ,寝室,しんしつ,
シ/ンシツ,心室,しんしつ,
シ/ンシテキ,紳士的,しんしてき,
シ/ンシャ,新車,しんしゃ,
シ/ンシュツ,新出,しんしゅつ,
シ/ンシュツ,進出,しんしゅつ,
シ/ンショ\ウシャ,身障者,しんしょうしゃ,
シ\ンシン,心身,しんしん,
シ\ンジツ,真実,しんじつ,
シ\ンジャ,信者,しんじゃ,
シ/ンジュ,真珠,しんじゅ,
シ/ンジュク,新宿,しんじゅく,
シ/ンジュク\ク,新宿区,しんじゅくく,
シ\ンジョウ,身上,しんじょう,
シ/ンジョウ,信条,しんじょう,
シ/ンジョウ,心情,しんじょう,
シ/ンジ\ル,信じる,しんじる,
シ/ンジン,新人,しんじん,
シ/ンジン,信心,しんじん,
シ/ンジ\ンオウ,新人王,しんじんおう,
シ/ンスイ,浸水,しんすい,
シ/ンスイ,心酔,しんすい,
シ/ンズル,信ずる,しんずる,
シ/ンセイ,申請,しんせい,
シ/ンセイ,神聖,しんせい,
シ/ンセ\イカツ,新生活,しんせいかつ,
シ/ンセ\イケン,新政権,しんせいけん,
シ/ンセイショ\,申請書,しんせいしょ,
シ/ンセ\イヒン,新製品,しんせいひん,
シ/ンセ\イフ,新政府,しんせいふ,
シ/ンセキ,親戚,しんせき,
シ\ンセツ,親切,しんせつ,
シ/ンセツ,新雪,しんせつ,
シ/ンセツ,新設,しんせつ,
シ/ンセン,新鮮,しんせん,
シ/ンソウ,新装,しんそう,
シ/ンソウ,真相,しんそう,
シ/ンソウ,深層,しんそう,
シ/ンソウガ\クシュウ,深層学習,しんそうがくしゅう,
シ\ンソコ,心底,しんそこ,
シ/ンソツ,新卒,しんそつ,
シ/ンゾウ,心臓,しんぞう,
シ/ンゾウビョウ,心臓病,しんぞうびょう,
シ\ンゾク,親族,しんぞく,
シ\ンタイ,身体,しんたい,
シ\ンタイ,進退,しんたい,
シ/ンタイケ\ンサ,身体検査,しんたいけんさ,
シ/ンタイショウガ\イシャ,身体障害者,しんたいしょうがいしゃ,
シ/ンタ\イソウ,新体操,しんたいそう,
シ/ンタ\イリク,新大陸,しんたいりく,
シ\ンタク,信託,しんたく,
シ/ンダイ,寝台,しんだい,
シ/ンダ\イシャ,寝台車,しんだいしゃ,
シ/ンダン,診断,しんだん,
シ/ンダンショ\,診断書,しんだんしょ,
シ/ンチク,新築,しんちく,
シ/ンチャ,新茶,しんちゃ,
シ/ンチョウ,身長,しんちょう,
シ/ンチョウ,慎重,しんちょう,
シ/ンチョウ,新調,しんちょう,
シ/ンテン,進展,しんてん,
シ/ンテン,伸展,しんてん,
シ/ンデ\レラ,シンデレラ,しんでれら,Cinderella
シ/ンデン,神殿,しんでん,
シ/ンデ\ンズ,心電図,しんでんず,
シ/ントウ,浸透,しんとう,
シ\ントウ,神道,しんとう,
シ\ントウ,新党,しんとう,
シ\ンド,深度,しんど,
シ\ンド,震度,しんど,
シ/ンドウ,振動,しんどう,
シ/ンドウ,神童,しんどう,
シ\ンナー,シンナー,しんなー,thinner
シ\ンニ,真に,しんに,
シ/ンニチ,親日,しんにち,
シ/ンニチカ,親日家,しんにちか,
シ/ンニュウ,進入,しんにゅう,
シ/ンニュ\ウセイ,新入生,しんにゅうせい,
シ/ンニン,新任,しんにん,
シ/ンニン,信任,しんにん,
シ\ンネン,新年,しんねん,
シ\ンネン,信念,しんねん,
シ/ンネ\ンカイ,新年会,しんねんかい,
シ/ンネ\ンド,新年度,しんねんど,
シ/ンハ\ツバイ,新発売,しんはつばい,
シ/ンハ\ンニン,真犯人,しんはんにん,
シ\ンバシ,新橋,しんばし,
シ/ンパイ,心配,しんぱい,
シ/ンパク\スウ,心拍数,しんぱくすう,
シ\ンパン,審判,しんぱん,
シ/ンパ\ンイン,審判員,しんぱんいん,
シ\ンピ,神秘,しんぴ,
シ/ンピテキ,神秘的,しんぴてき,
シ/ンピョウセイ,信憑性,しんぴょうせい,
シ/ンピン,新品,しんぴん,
シ/ンフ\ゼン,心不全,しんふぜん,
シ/ンブン,新聞,しんぶん,
シ/ンブンキ\シャ,新聞記者,しんぶんきしゃ,
シ/ンブンキ\ジ,新聞記事,しんぶんきじ,
シ/ンブ\ンシ,新聞紙,しんぶんし,
シ/ンブンハ\イタツ,新聞配達,しんぶんはいたつ,
シ\ンプル,シンプル,しんぷる,simple
シ\ンボウ,辛抱,しんぼう,
シ/ンボウヅヨ\イ,辛抱強い,しんぼうづよい,
シ/ンボク,親睦,しんぼく,
シ\ンボル,シンボル,しんぼる,symbol
シ\ンポ,進歩,しんぽ,
シ/ンマイ,新米,しんまい,
シ\ンミ,親身,しんみ,
シ/ンミツ,親密,しんみつ,
シ/ンミョウ,神妙,しんみょう,
シ/ンミ\リ,しんみり,しんみり,
シ/ンメ\トリー,シンメトリー,しんめとりー,symmetry
シ\ンヤ,深夜,しんや,
シ/ンヤリョ\ウキン,深夜料金,しんやりょうきん,
シ/ンユウ,親友,しんゆう,
シ/ンヨウ,信用,しんよう,
シ/ンライ,信頼,しんらい,
シ\ンリ,真理,しんり,
シ\ンリ,心理,しんり,
シ/ンリ\ガク,心理学,しんりがく,
シ/ンリャク,侵略,しんりゃく,
シ/ンリョウ,診療,しんりょう,
シ/ンリョウジョ\,診療所,しんりょうじょ,
シ/ンリン,森林,しんりん,
シ/ンリ\ンヨク,森林浴,しんりんよく,
シ/ンルイ,親類,しんるい,
シ\ンロ,進路,しんろ,
シ/ンロウ,心労,しんろう,
シ/ンロウ,新郎,しんろう,
シ/ンロシ\ドウ,進路指導,しんろしどう,
シ/ンワ,神話,しんわ,
シ/ーエム,シーエム,しーえむ,CM
シ\ーズン,シーズン,しーずん,season
シ\ーツ,シーツ,しーつ,sheet
シ/ーディ\ー,シーディー,しーでぃー,CD
シ/ーディープレ\ーヤー,シーディープレーヤー,しーでぃーぷれーやー,CD player
シ\ート,シート,しーと,seat
シ/ートベ\ルト,シートベルト,しーとべると,seat belt
シ\ード,シード,しーど,seed
シ/ーフ\ード,シーフード,しーふーど,seafood
シ\ール,シール,しーる,seal
シ/ーロム,シーロム,しーろむ,สีลม
シ/ーロム\エキ,シーロム駅,しーろむえき,สีลม
シ\ーン,シーン,しーん,scene
ジ\,字,じ,
ジ/,痔,じ,
ジ/アン,事案,じあん,
ジ\イ,爺,じい,
ジ\イ,辞意,じい,
ジ\イ,自慰,じい,
ジ\イサン,爺さん,じいさん,
ジ\イサン,祖父さん,じいさん,
ジ\イン,寺院,じいん,
ジェ\スチャー,ジェスチャー,じぇすちゃー,gesture
ジェ\ット,ジェット,じぇっと,jet
ジェ/ットコ\ースター,ジェットコースター,じぇっとこーすたー,jet coaster
ジェ\ラシー,ジェラシー,じぇらしー,jealousy
ジェ\ントルマン,ジェントルマン,じぇんとるまん,gentleman
ジェ/ーア\ール,ジェーアール,じぇーあーる,JR
ジェ/ーリ\ーグ,ジェーリーグ,じぇーりーぐ,J-League
ジ/エイ,自営,じえい,
ジ/エイ,自衛,じえい,
ジ/エ\イカン,自衛官,じえいかん,
ジ/エ\イギョウ,自営業,じえいぎょう,
ジ/エイタイ,自衛隊,じえいたい,
ジ\カ,直,じか,
ジ\カイ,次回,じかい,
ジ/カク,自覚,じかく,
ジ/カン,時間,じかん,
ジ/カンワリ,時間割り,じかんわり,
ジ\ガジサン,自画自賛,じがじさん,
ジ\キ,時期,じき,
ジ/キ,直,じき,
ジ\キ,磁気,じき,
ジ\キ,次期,じき,
ジ/キジキ,直々,じきじき,
ジ/キュウ,時給,じきゅう,
ジ/キュウ,自給,じきゅう,
ジ\ギュウ,事業,じぎゅう,
ジ/ギュウショ,事業所,じぎゅうしょ,
ジ\ギョウ,事業,じぎょう,
ジ/ク\,軸,じく,
ジ/グザグ,ジグザグ,じぐざぐ,zigzag
ジ/グソーパ\ズル,ジグソーパズル,じぐそーぱずる,jigsaw puzzle
ジ\ケン,事件,じけん,
ジ/ゲン,次元,じげん,
ジ\コ,事故,じこ,
ジ/コウ,時効,じこう,
ジ\コク,時刻,じこく,
ジ/コクヒョウ,時刻表,じこくひょう,
ジ/コショ\ウカイ,自己紹介,じこしょうかい,
ジ/コリュウ,自己流,じこりゅう,
ジ/ゴ\ウジ/トク,自業自得,じごうじとく,
ジ/ゴク\,地獄,じごく,
ジ\サ,時差,じさ,
ジ/サツ,自殺,じさつ,
ジ/サボケ,時差ぼけ,じさぼけ,
ジ/サン,持参,じさん,
ジ\シャ,自社,じしゃ,
ジ\シャ,寺社,じしゃ,
ジ\シャク,磁石,じしゃく,
ジ\シュ,自主,じしゅ,
ジ/シュ,自首,じしゅ,
ジ\シュウ,次週,じしゅう,
ジ/シュウ,自習,じしゅう,
ジ/シュク,自粛,じしゅく,
ジ/シュテキ,自主的,じしゅてき,
ジ\ショ,辞書,じしょ,
ジ/ショク,辞職,じしょく,
ジ/シン,地震,じしん,
ジ\シン,自身,じしん,
ジ/シン,自信,じしん,
ジ/シン\マ/ンマン,自信満々,じしんまんまん,
ジ/ジ\イ,爺,じじい,
ジ\ジツ,事実,じじつ,
ジ/ジョウ,事情,じじょう,
ジ/スイ,自炊,じすい,
ジ/セイ,自省,じせい,
ジ/セイ,自制,じせい,
ジ/セイ,時制,じせい,
ジ/ゼン,慈善,じぜん,
ジ/ゼン,事前,じぜん,
ジ\ソク,時速,じそく,
ジ/ソン,自尊,じそん,
ジ/ソン,自損,じそん,
ジ/ソ\ンシン,自尊心,じそんしん,
ジ/ゾク,持続,じぞく,
ジ\タイ,自体,じたい,
ジ\タイ,辞退,じたい,
ジ\タイ,事態,じたい,
ジ/タク,自宅,じたく,
ジ\タバタ,じたばた,じたばた,
ジ/ダイ,時代,じだい,
ジ/ダイオ\クレ,時代遅れ,じだいおくれ,
ジ/ダ\イゲキ,時代劇,じだいげき,
ジ\チ,自治,じち,
ジ/チタイ,自治体,じちたい,
ジ/チョウ,次長,じちょう,
ジ/チョウ,自重,じちょう,
ジ/ッカ,実家,じっか,
ジ/ッカン,実感,じっかん,
ジ/ッキョウ,実況,じっきょう,
ジ/ック\リ,じっくり,じっくり,
ジ/ッケン,実験,じっけん,
ジ/ッコウ,実行,じっこう,
ジ/ッサイ,実際,じっさい,
ジ/ッシ,実施,じっし,
ジ/ッシツ,実質,じっしつ,
ジ/ッシュウ,実習,じっしゅう,
ジ/ッシュ\ウセイ,実習生,じっしゅうせい,
ジ/ッショウ,実証,じっしょう,
ジ/ッショウジ\ッケン,実証実験,じっしょうじっけん,
ジ/ッセキ,実績,じっせき,
ジ/ッセン,実践,じっせん,
ジ/ッタイ,実態,じったい,
ジ/ット,じっと,じっと,
ジ/ット\リ,じっとり,じっとり,
ジ\ッパー,ジッパー,じっぱー,zipper
ジ/ツ\,実,じつ,
ジ/ツイン,実印,じついん,
ジ/ツギョウカ,実業家,じつぎょうか,
ジ/ツゲン,実現,じつげん,
ジ/ツザイ,実在,じつざい,
ジ/ツジョウ,実情,じつじょう,
ジ/ツ\ニ,実に,じつに,
ジ/ツブツ,実物,じつぶつ,
ジ\ツム,実務,じつむ,
ジ/ツメイ,実名,じつめい,
ジ/ツヨウ,実用,じつよう,
ジ/ツリョク,実力,じつりょく,
ジ/ツワ,実話,じつわ,
ジ\テン,時点,じてん,
ジ/テン,辞典,じてん,
ジ/テン,事典,じてん,
ジ/テン,自転,じてん,
ジ/テ\ンシャ,自転車,じてんしゃ,
ジ/ドウ,自動,じどう,
ジ\ドウ,児童,じどう,
ジ/ド\ウシ,自動詞,じどうし,
ジ/ド\ウシャ,自動車,じどうしゃ,
ジ/ドウハンバ\イキ,自動販売機,じどうはんばいき,
ジ\ナン,次男,じなん,
ジ/ニン,辞任,じにん,
ジ/ニン,自認,じにん,
ジ/ヌシ,地主,じぬし,
ジ\ハダ,地肌,じはだ,
ジ/ハツ,自発,じはつ,
ジ/ハツテキ,自発的,じはつてき,
ジ/ハ\ンキ,自販機,じはんき,
ジ/バラ,自腹,じばら,
ジ/バン,地盤,じばん,
ジ/バンチ\ンカ,地盤沈下,じばんちんか,
ジ/ヒ,慈悲,じひ,
ジ/ヒ,自費,じひ,
ジ/ヒツ,自筆,じひつ,
ジ/ヒョウ,辞表,じひょう,
ジ/ビカ,耳鼻科,じびか,
ジ/ビョウ,持病,じびょう,
ジ/ブン,自分,じぶん,
ジ/ブンカ\ッテ,自分勝手,じぶんかって,
ジ/ブ\ンタチ,自分達,じぶんたち,
ジ/ホウ,時報,じほう,
ジ/マエ,自前,じまえ,
ジ/マク,字幕,じまく,
ジ/マン,自慢,じまん,
ジ/マンバ\ナシ,自慢話,じまんばなし,
ジ/ミ\,地味,じみ,
ジ/ミチ,地道,じみち,
ジ\ミン,自民,じみん,
ジ\ム,事務,じむ,
ジ/ム\イン,事務員,じむいん,
ジ/ム\シツ,事務室,じむしつ,
ジ/ム\ショ,事務所,じむしょ,
ジ\メジメ,じめじめ,じめじめ,
ジ/メツ,自滅,じめつ,
ジ\メン,地面,じめん,
ジ/モト,地元,じもと,
ジャ\,じゃ,じゃ,
ジャ\アジャア,じゃあじゃあ,じゃあじゃあ,
ジャ/カルタ,ジャカルタ,じゃかるた,Jakarta
ジ/ャガイモ,ジャガイモ,じゃがいも,
ジャ\ク,弱,じゃく,
ジャ\クシャ,弱者,じゃくしゃ,
ジャ/クショウ,弱小,じゃくしょう,
ジャ/クタイ,弱体,じゃくたい,
ジャ/クテ\ン,弱点,じゃくてん,
ジャ/クニクキョウショク,弱肉強食,じゃくにくきょうしょく,
ジャ/クネン,若年,じゃくねん,
ジャ/クハイ,若輩,じゃくはい,
ジャ/グチ,蛇口,じゃぐち,
ジャ\ケット,ジャケット,じゃけっと,jacket
ジャ\ズ,ジャズ,じゃず,jazz
ジャ/ッカン,若干,じゃっかん,
ジャ/ッ\ク,ジャック,じゃっく,
ジャ\ッジ,ジャッジ,じゃっじ,judge
ジャ\ニーズ,ジャニーズ,じゃにーず,
ジャ/パ\ン,ジャパン,じゃぱん,Japan
ジャ\ブジャブ,じゃぶじゃぶ,じゃぶじゃぶ,
ジャ/マ,邪魔,じゃま,
ジャ\ム,ジャム,じゃむ,jam
ジャ\ラジャラ,じゃらじゃら,じゃらじゃら,
ジャ/リ,砂利,じゃり,
ジャ\リジャリ,じゃりじゃり,じゃりじゃり,
ジャ\ンクション,ジャンクション,じゃんくしょん,junction
ジャ\ングル,ジャングル,じゃんぐる,jungle
ジャ\ンケン,じゃんけん,じゃんけん,
ジャ\ンジャン,じゃんじゃん,じゃんじゃん,
ジャ\ンパー,ジャンパー,じゃんぱー,jumper
ジャ\ンプ,ジャンプ,じゃんぷ,jump
ジャ\ンボ,ジャンボ,じゃんぼ,jumbo
ジャ\ンル,ジャンル,じゃんる,genre
ジャ\ー,ジャー,じゃー,jar
ジャ/ージ,ジャージ,じゃーじ,jersey
ジャ/ーナリ\スト,ジャーナリスト,じゃーなりすと,journalist
ジュ\ウ,１０,じゅう,
ジュ\ウ,銃,じゅう,
ジュ/ウアツ,重圧,じゅうあつ,
ジュ\ウイ,獣医,じゅうい,
ジュ/ウオ\ウムジン,縦横無尽,じゅうおうむじん,
ジュ\ウキョ,住居,じゅうきょ,
ジュ/ウギョウ,従業,じゅうぎょう,
ジュ/ウギョ\ウイン,従業員,じゅうぎょういん,
ジュ/ウギョ\ウインセ/ンヨウ,従業員専用,じゅうぎょういんせんよう,
ジュ/ウケツ,充血,じゅうけつ,
ジュ\ウシ,重視,じゅうし,
ジュ\ウショ,住所,じゅうしょ,
ジュ/ウショウ,重症,じゅうしょう,
ジュ/ウショウ,重傷,じゅうしょう,
ジ/ュウジ,十字,じゅうじ,
ジュ/ウジカ,十字架,じゅうじか,
ジュ/ウジツ,充実,じゅうじつ,
ジュ/ウジュウ,重々,じゅうじゅう,
ジュ/ウジュン,従順,じゅうじゅん,
ジュ/ウジ\ロ,十字路,じゅうじろ,
ジュ/ウタイ,重体,じゅうたい,
ジュ/ウタイ,渋滞,じゅうたい,
ジュ/ウタク,住宅,じゅうたく,
ジュ/ウタク\ガイ,住宅街,じゅうたくがい,
ジュ/ウタ\クチ,住宅地,じゅうたくち,
ジュ/ウタクロ\ーン,住宅loan,じゅうたくろーん,
ジュ\ウタン,絨毯,じゅうたん,
ジュ/ウダイ,重大,じゅうだい,
ジュ/ウダン,銃弾,じゅうだん,
ジュ/ウダン,縦断,じゅうだん,
ジュ/ウテン,充填,じゅうてん,
ジュ/ウテ\ン,重点,じゅうてん,
ジュ/ウデン,充電,じゅうでん,
ジュ/ウデ\ンキ,充電器,じゅうでんき,
ジュ\ウドウ,柔道,じゅうどう,
ジュ/ウナン,柔軟,じゅうなん,
ジュ/ウブ\ン,十分,じゅうぶん,
ジュ/ウマン,充満,じゅうまん,
ジュ/ウミン,住民,じゅうみん,
ジュ/ウミンヒョウ,住民票,じゅうみんひょう,
ジュ/ウヤク,重役,じゅうやく,
ジュ/ウヨウ,重要,じゅうよう,
ジュ\ウライ,従来,じゅうらい,
ジュ/ウリョ\ウ,重量,じゅうりょう,
ジュ\ウリョク,重力,じゅうりょく,
ジュ/キュウ,受給,じゅきゅう,
ジュ\キョウ,儒教,じゅきょう,
ジュ\ギョウ,授業,じゅぎょう,
ジュ\ク,塾,じゅく,
ジュ/クゴ,熟語,じゅくご,
ジュ/クスイ,熟睡,じゅくすい,
ジュ\クチ,熟知,じゅくち,
ジュ/クネン,熟年,じゅくねん,
ジュ/ケン,受験,じゅけん,
ジュ/ケ\ンセイ,受験生,じゅけんせい,
ジュ/コウ,受講,じゅこう,
ジュ/ショウ,受賞,じゅしょう,
ジュ/シン,受診,じゅしん,
ジュ/シン,受信,じゅしん,
ジュ/シ\ンリョウ,受信料,じゅしんりょう,
ジュ/チュウ,受注,じゅちゅう,
ジュ/ツ,術,じゅつ,
ジュ/ツゴ,述語,じゅつご,
ジュ\ニア,ジュニア,じゅにあ,junior
ジュ/ミョウ,寿命,じゅみょう,
ジュ\モク,樹木,じゅもく,
ジュ/ヨウ,需要,じゅよう,
ジュ/ン,順,じゅん,
ジュ\ンイ,順位,じゅんい,
ジュ/ンカン,循環,じゅんかん,
ジュ/ンキュウ,準急,じゅんきゅう,
ジュ/ンキン,純金,じゅんきん,
ジュ/ンケ\ッショウ,準決勝,じゅんけっしょう,
ジュ/ンジュ\ン,順々,じゅんじゅん,
ジュ\ンジョ,順序,じゅんじょ,
ジュ/ンジョウ,純情,じゅんじょう,
ジュ/ンジル,準じる,じゅんじる,
ジュ/ンスイ,純粋,じゅんすい,
ジュ/ンズル,準ずる,じゅんずる,
ジュ/ンチョウ,順調,じゅんちょう,
ジュ/ントウ,順当,じゅんとう,
ジュ/ンニ,順に,じゅんに,
ジュ/ンバン,順番,じゅんばん,
ジュ\ンビ,準備,じゅんび,
ジュ\ンロ,順路,じゅんろ,
ジュ\ース,ジュース,じゅーす,juice
ジ/ユ\ウ,自由,じゆう,
ジ/ユウカ,自由化,じゆうか,
ジ/ユ\ウセキ,自由席,じゆうせき,
ジョ\ウ,上,じょう,
ジョ\ウ,錠,じょう,
ジョ\ウ,嬢,じょう,
ジョ/ウ,情,じょう,
ジョ\ウイ,攘夷,じょうい,
ジョ\ウイ,上位,じょうい,
ジョ\ウイ,譲位,じょうい,
ジョ/ウイン,乗員,じょういん,
ジョ/ウイン,上院,じょういん,
ジョ/ウエイ,上映,じょうえい,
ジョ/ウエン,上演,じょうえん,
ジョ/ウオ\ウ,女王,じょうおう,
ジョ/ウカ,浄化,じょうか,
ジョ/ウカ\マチ,城下町,じょうかまち,
ジョ\ウガイ,場外,じょうがい,
ジョ\ウガイ,城外,じょうがい,
ジョ\ウキ,蒸気,じょうき,
ジョ\ウキ,上記,じょうき,
ジョ/ウキ\ゲン,上機嫌,じょうきげん,
ジョ/ウキャク,乗客,じょうきゃく,
ジョ/ウキュウ,上級,じょうきゅう,
ジョ/ウキュ\ウセイ,上級生,じょうきゅうせい,
ジョ/ウキョウ,状況,じょうきょう,
ジョ/ウキョウ,上京,じょうきょう,
ジョ/ウクウ,上空,じょうくう,
ジョ/ウケ\ン,条件,じょうけん,
ジョ\ウゲ,上下,じょうげ,
ジョ/ウゲン,上限,じょうげん,
ジョ/ウゲン,上弦,じょうげん,
ジョ/ウコ\ウ,上皇,じょうこう,
ジョ/ウコウ,乗降,じょうこう,
ジョ/ウコウ,条項,じょうこう,
ジョ/ウザイ,錠剤,じょうざい,
ジョ\ウシ,上司,じょうし,
ジョ/ウシキ,常識,じょうしき,
ジョ/ウシャ,乗車,じょうしゃ,
ジョ/ウシャ\ケン,乗車券,じょうしゃけん,
ジョ/ウシュ\ウハン,常習犯,じょうしゅうはん,
ジョ/ウショウ,常勝,じょうしょう,
ジョ/ウショウ,上昇,じょうしょう,
ジョ\ウジ,情事,じょうじ,
ジョ\ウジ,常時,じょうじ,
ジョ/ウジュン,上旬,じょうじゅん,
ジョ/ウジョウ,上々,じょうじょう,
ジョ/ウジョウ,上場,じょうじょう,
ジョ/ウジョウ,情状,じょうじょう,
ジョ/ウス\イキ,浄水器,じょうすいき,
ジョ/ウス\イドウ,上水道,じょうすいどう,
ジョ/ウズ\,上手,じょうず,
ジョ/ウセイ,醸成,じょうせい,
ジョ/ウセイ,情勢,じょうせい,
ジョ/ウタイ,状態,じょうたい,
ジョ/ウタイ,上体,じょうたい,
ジョ/ウタツ,上達,じょうたつ,
ジョ/ウダ\ン,冗談,じょうだん,
ジョ\ウト,譲渡,じょうと,
ジョ\ウナイ,場内,じょうない,
ジョ/ウネツ,情熱,じょうねつ,
ジョ/ウハツ,蒸発,じょうはつ,
ジョ/ウハ\ンシン,上半身,じょうはんしん,
ジョ/ウバ,乗馬,じょうば,
ジョ/ウヒ\ン,上品,じょうひん,
ジョ/ウブ,丈夫,じょうぶ,
ジョ\ウブ,上部,じょうぶ,
ジョ\ウホ,譲歩,じょうほ,
ジョ/ウホウ,情報,じょうほう,
ジョ/ウホ\ウシ,情報誌,じょうほうし,
ジョ/ウホ\ウモウ,情報網,じょうほうもう,
ジョ/ウミャク,静脈,じょうみゃく,
ジョ\ウム,常務,じょうむ,
ジョ/ウム\イン,乗務員,じょうむいん,
ジョ/ウヤク,条約,じょうやく,
ジョ\ウヨ,譲与,じょうよ,
ジョ/ウヨウ,常用,じょうよう,
ジョ/ウヨウカ\ンジ,常用漢字,じょうようかんじ,
ジョ/ウヨ\ウシャ,乗用車,じょうようしゃ,
ジョ\ウリク,重力,じょうりく,
ジョ/ウリュウ,上流,じょうりゅう,
ジョ/ウリュウ,蒸留,じょうりゅう,
ジョ/ウレイ,条例,じょうれい,
ジョ/ウレン,常連,じょうれん,
ジョ/オ\ウ,女王,じょおう,
ジョ/ガイ,除外,じょがい,
ジョ\キョ,除去,じょきょ,
ジョ/キョ\ウジュ,助教授,じょきょうじゅ,
ジョ/キン,除菌,じょきん,
ジョ/ギング,ジョギング,じょぎんぐ,jogging
ジョ/ゲン,助言,じょげん,
ジョ/サ\ンプ,助産婦,じょさんぷ,
ジョ\シ,女子,じょし,
ジョ/シ,助詞,じょし,
ジョ/シアナ,女子アナ,じょしあな,
ジョ/シカイ,女子会,じょしかい,
ジョ/シシャ\イン,女子社員,じょししゃいん,
ジョ/シダイ,女子大,じょしだい,
ジョ/シツ,除湿,じょしつ,
ジョ/シツ\キ,除湿機,じょしつき,
ジョ/シュ,助手,じょしゅ,
ジョ/シュセキ,助手席,じょしゅせき,
ジョ\ジョニ,徐々に,じょじょに,
ジョ/セイ,女性,じょせい,
ジョ/セイ,助成,じょせい,
ジョ/セイキン,助成金,じょせいきん,
ジョ/セイテキ,女性的,じょせいてき,
ジョ/セイホ\ルモン,女性ホルモン,じょせいほるもん,
