タイプ,日本語,タイ語,sense
擬態,ペラペラ,,"(พูด)คล่อง, ลื่นไหล, (รายงาน)ดูบางตา"
擬態,ポイ,,ทิ้งของเบา
擬態,ポカポカ,,อุ่นสบาย
擬態,ポカーン,วิ้ง,ตกใจจนพูดไม่ได้เลย
擬態,ボケー,มึน,มึน
擬態,ボタボタ,ติ๋ง ๆ,(หยด)ติ๋งๆ
擬態,ボロボロ,พราก,น้ำตาไหลพราก
擬態,ボロボロ,,ยับเยิน
擬態,ポロッ,ผลอย,ของเล็กหลุด
擬態,ボーッ,"มึน, ตึ้บ",มึน
擬態,ニコニコ,,ยิ้ม
擬態,ムカムカ,,แน่นท้อง
擬態,ムシャムシャ,งั่บ ๆ,กินอาหารอย่างเร็ว
擬態,メチャクチャ,,"เละตุ้มเปะ, มั่วไปหมด"
擬態,モリモリ,,"(กิน)มูมมาม, อยากทำ(เต็มเปี่ยม)"
擬態,ヨボヨボ,งั่ก ๆ,"อาการสั่นสะท้าน, เดินสั่น ๆ"
擬態,ヨロヨロ,โงนเงน,"(เดิน)โซซัดโซเซ, เอนช้ายเอนขวา"
擬態,ワイワイ,แซ่ด,คุยกันจอแจ
擬情,イライラ,,"หงุดหงิด, กระสับกระส่าย"
擬情,ウキウキ,,"ระรื่น, ระริกระรี้"
擬情,ガッカリ,แป่ว,"ผิดหวัง, เสียใจ"
擬情,ガーン,ก๊อง,ซ็อก
擬情,ギョッ,เฮือก,เสียงตกใจ
擬情,ズーン,ซีด,ซึมเศร้า
擬情,ドキドキ,ตึกตัก,"ใจเต้นตึกตัก, หัวใจเต้นรัว"
擬情,ドキッ,โหยง,สะดุ้ง
擬情,ハラハラ,,ความรู้สึกกังวลใจ
擬情,ビクビク,หงึก ๆ,สั่นกลัว
擬情,ヒヤヒヤ,(เย็น)วาบ,"รู้สึกเย็นวาบ, รู้สึกกลัว หรือกังวลใจ"
擬情,ホッ,,"รู้สึกปลอดโปร่ง, โล่งใจ"
擬情,ムカムカ,,โมโห
擬情,ムッ,บูด,ทำหน้าไม่พอใจ
擬情,ムラムラ,,อาการหื่น
擬情,メソメソ,,งอแง
擬情,メロメロ,,ตกหลุมรัก
擬情,ワクワク,,"ตื่นเต้นดีใจ, ลุ้น"
