word,kana,yomi,conj,base,nai,nakatta,masu,te,ta,con,imp,vol,pot
削る,けずる,kezuru,五段-ラ行,削る,削らない,削らなかった,削ります,削って,削った,削れば,削れ,削ろう,削れる
削れる,けずれる,kezureru,下一段-ラ行,削れる,削れない,削れなかった,削れます,削れて,削れた,削れれば,削れろ,削れよう,削れられる
けちる,けちる,kechiru,五段-ラ行,けちる,けちらない,けちらなかった,けちります,けちって,けちった,けちれば,けちれ,けちろう,
決する,けっする,kessuru,サ行変格,決する,決しない,決しなかった,決します,決して,決した,決すれば,決しろ,決しよう,決せる
貶す,けなす,kenasu,五段-サ行,貶す,貶さない,貶さなかった,貶します,貶して,貶した,貶せば,貶せ,貶そう,貶せる
蹴り合う,けりあう,keriau,五段-ワア行,蹴り合う,蹴り合わない,蹴り合わなかった,蹴り合います,蹴り合って,蹴り合った,蹴り合えば,蹴り合え,蹴り合おう,蹴り合える
蹴り上げる,けりあげる,keriageru,下一段-ガ行,蹴り上げる,蹴り上げない,蹴り上げなかった,蹴り上げます,蹴り上げて,蹴り上げた,蹴り上げれば,蹴り上げろ,蹴り上げよう,蹴り上げられる
蹴り飛ばす,けりとばす,keritobasu,五段-サ行,蹴り飛ばす,蹴り飛ばさない,蹴り飛ばさなかった,蹴り飛ばします,蹴り飛ばして,蹴り飛ばした,蹴り飛ばせば,蹴り飛ばせ,蹴り飛ばそう,蹴り飛ばせる
蹴る,ける,keru,五段-ラ行,蹴る,蹴らない,蹴らなかった,蹴ります,蹴って,蹴った,蹴れば,蹴れ,蹴ろう,蹴れる
講じる,こうじる,koojiru,上一段-ザ行,講じる,講じない,講じなかった,講じます,講じて,講じた,講じれば,講じろ,講じよう,講じられる
講ずる,こうずる,koozuru,サ行変格,講ずる,講じない,講じなかった,講じます,講じて,講じた,講ずれば,講じよ,講じよう,講じられる
越える,こえる,koeru,下一段-ア行,越える,越えない,越えなかった,越えます,越えて,越えた,越えれば,越えろ,越えよう,越えられる
凍り付く,こおりつく,kooritsuku,五段-カ行,凍り付く,凍り付かない,凍り付かなかった,凍り付きます,凍り付いて,凍り付いた,凍り付けば,凍り付け,凍り付こう,凍り付ける
凍る,こおる,kooru,五段-ラ行,凍る,凍らない,凍らなかった,凍ります,凍って,凍った,凍れば,凍れ,凍ろう,凍れる
漕ぎ着ける,こぎつける,kogitsukeru,下一段-カ行,漕ぎ着ける,漕ぎ着けない,漕ぎ着けなかった,漕ぎ着けます,漕ぎ着けて,漕ぎ着けた,漕ぎ着ければ,漕ぎ着けろ,漕ぎ着けよう,漕ぎ着けられる
漕ぐ,こぐ,kogu,五段-ガ行,漕ぐ,漕がない,漕がなかった,漕ぎます,漕いで,漕いだ,漕げば,漕げ,漕ごう,漕げる
焦げる,こげる,kogeru,下一段-ガ行,焦げる,焦げない,焦げなかった,焦げます,焦げて,焦げた,焦げれば,焦げろ,焦げよう,焦げられる
心掛ける,こころがける,kokorogakeru,下一段-カ行,心掛ける,心掛けない,心掛けなかった,心掛けます,心掛けて,心掛けた,心掛ければ,心掛けろ,心掛けよう,心掛けられる
志す,こころざす,kokorozasu,五段-サ行,志す,志さない,志さなかった,志します,志して,志した,志せば,志せ,志そう,志せる
試みる,こころみる,kokoromiru,上一段-マ行,試みる,試みない,試みなかった,試みます,試みて,試みた,試みれば,試みろ,試みよう,試みられる
心行く,こころゆく,kokoroyuku,五段-カ行,心行く,心行かない,心行かなかった,心行きます,心行いて,心行いた,心行けば,心行け,心行こう,心行ける
腰掛ける,こしかける,koshikakeru,下一段-カ行,腰掛ける,腰掛けない,腰掛けなかった,腰掛けます,腰掛けて,腰掛けた,腰掛ければ,腰掛けろ,腰掛けよう,腰掛けられる
漉し取る,こしとる,koshitoru,五段-ラ行,漉し取る,漉し取らない,漉し取らなかった,漉し取ります,漉し取って,漉し取った,漉し取れば,漉し取れ,漉し取ろう,漉し取れる
抉じ開ける,こじあける,kojiakeru,下一段-カ行,抉じ開ける,抉じ開けない,抉じ開けなかった,抉じ開けます,抉じ開けて,抉じ開けた,抉じ開ければ,抉じ開けろ,抉じ開けよう,抉じ開けられる
漉す,こす,kosu,五段-サ行,漉す,漉さない,漉さなかった,漉します,漉して,漉した,漉せば,漉せ,漉そう,漉せる
