accent,kanji,yomi,english
そ/うさく,捜索・創作,そうさく,
そ/うさくたい,捜索隊,そうさくたい,
そ/うさくね\がい,捜索願い,そうさくねがい,
そ/うざい,総菜,そうざい,
そ\うざん,早産,そうざん,
そ/うしき,葬式,そうしき,
そ/うしつ,喪失,そうしつ,
そ/うしは\いにん,総支配人,そうしはいにん,
そ\うしゃ,走者・奏者,そうしゃ,
そ/うしゅ\こく,宗主国,そうしゅこく,
そ/うしゅん,早春,そうしゅん,
そ/うしょく,装飾・草食,そうしょく,
そ/うしょくど\うぶつ,草食動物,そうしょくどうぶつ,
そ/うしょくひん,装飾品,そうしょくひん,
そ/うしょくよう,装飾用,そうしょくよう,
そ/うしょたい,草書体,そうしょたい,
そ/うしん,送信・痩身・喪心,そうしん,
そ/うじ,掃除,そうじ,
そ/うじ\き,掃除機,そうじき,
そ/うじ\しょく,総辞職,そうじしょく,
そ/うじゅう,操縦,そうじゅう,
そ/うじゅ\うし,操縦士,そうじゅうし,
そ/うじゅ\うせき,操縦席,そうじゅうせき,
そ/うじゅ\うりょう,総重量,そうじゅうりょう,
そ/うじゅく,早熟,そうじゅく,
そ/うじ\んこう,総人口,そうじんこう,
そ/うする,,そうする,
そ/うせ\んきょ,総選挙,そうせんきょ,
そ/うぞう,想像・創造,そうぞう,
そ/うぞ\うりょく,想像力,そうぞうりょく,
そ/うぞく,相続,そうぞく,
そ/うぞく\ぜい,相続税,そうぞくぜい,
そ/うたい,早退,そうたい,
そ/うたいてき,相対的,そうたいてき,
そ/うだん,相談,そうだん,
そ/うだんあ\いて,相談相手,そうだんあいて,
そ\うち,装置,そうち,
そ/うちょう,早朝,そうちょう,
そ/うてい,想定,そうてい,
そ/うとう,相当・総統,そうとう,
そ\うどう,騒動,そうどう,
そ/うなん,遭難,そうなん,
そ/うにゅう,挿入,そうにゅう,
そ/うはく,蒼白,そうはく,
そ/うば,相場,そうば,
そ/うべつ\かい,送別会,そうべつかい,
そ\うほう,双方,そうほう,
そ/うほ\んけ,総本家,そうほんけ,
そ/うまとう,走馬灯,そうまとう,
そ/うむ\しょう,総務省,そうむしょう,
そ/うめい,聡明,そうめい,
そ\うめん,素麺,そうめん,
そ\うり,総理,そうり,
そ/うりだ\いじん,総理大臣,そうりだいじん,
そ/うりつ,創立,そうりつ,
そ\うりょ,僧侶,そうりょ,
そ\うりょう,送料,そうりょう,
そ/うりょ\う,総量,そうりょう,
そ\うりょく,総力・走力,そうりょく,
そ/える,添える,そえる,
そ/えん,疎遠,そえん,
そ/が,曽我,そが,
そ/がい,阻害・疎外,そがい,
そ\く,即,そく,
そ/く\おん,促音,そくおん,
そ\くざ,即座,そくざ,
そ/くし,即死,そくし,
そ/くじつ,即日,そくじつ,
そ/くせ\んりょく,即戦力,そくせんりょく,
そ/くたつ,速達,そくたつ,
そ/くてい,測定,そくてい,
そ/くとう,即答・速答,そくとう,
そ\くど,速度,そくど,
そ/くばい,即売,そくばい,
そ/くほう,速報,そくほう,
そ/くめん,側面,そくめん,
そ/くりょう,測量,そくりょう,
そ/こ,,そこ,
そ/こあげ,底上げ,そこあげ,
そ\こく,祖国,そこく,
そ/こぢ\から,底力,そこぢから,
そ/こ\ね,底値,そこね,
そ/こま\で,,そこまで,
そ/ざい,素材,そざい,
そ\しき,組織,そしき,
そ/しきてき,組織的,そしきてき,
そ/しつ,素質,そしつ,
そ/して,,そして,
そ/しな,粗品,そしな,
そ/しょう,訴訟,そしょう,
そ/しょく,粗食,そしょく,
そ/す\う,素数,そすう,
そ\せん,祖先,そせん,
そ/そぐ,注ぐ・濯ぐ,そそぐ,
そ/そっかし\い,,そそっかしい,
そ/そのか\す,唆す,そそのかす,
そ/だ\いごみ,粗大塵,そだいごみ,
そ/だち\,育ち,そだち,
そ/だ\つ,育つ,そだつ,
そ/だて\る,育てる,そだてる,
そ/ちら,,そちら,
そ/っく\り,,そっくり,
そ/っこう,側溝・即効・速攻,そっこう,
そ/っち\,,そっち,
そ/っちのけ,,そっちのけ,
そ/っちょく,率直,そっちょく,
そ/っと,,そっと,
そ/つ,,そつ,
そ/つえ\んしき,卒園式,そつえんしき,
そ/つぎょう,卒業,そつぎょう,
そ/つぎょ\うしき,卒業式,そつぎょうしき,
そ/つぎょ\うせい,卒業生,そつぎょうせい,
そ/つぎょうろ\んぶん,卒業論文,そつぎょうろんぶん,
そ/つぎょうア\ルバム,卒業アルバム,そつぎょうアルバム,
そ/つろん,卒論,そつろん,
そ/で,袖,そで,
そ\と,外,そと,
そ/とがわ,外側,そとがわ,
そ/なえ\,備え,そなえ,
そ/なえつけ,備え付け,そなえつけ,
そ/なえ\る,備える・供える,そなえる,
そ/なわ\る,備わる・具わる,そなわる,
そ/の,,その,
そ/のうえ,,そのうえ,
そ/のうち,,そのうち,
そ/の\こ,その子,そのこ,
そ/のこ\ろ,その頃,そのころ,
そ/のご,その後,そのご,
そ/の\た,その他,そのた,
そ/のつぎ\,その次,そのつぎ,
そ/のと\おり,その通り,そのとおり,
そ/のと\き,その時,そのとき,
そ/ののち\,その後,そののち,
そ/のはず,その筈,そのはず,
そ/のば,その場,そのば,
そ/のひ\,その日,そのひ,
そ/のへん,その辺,そのへん,
そ/のほ\う,その方,そのほう,
そ/の\ほか,その他,そのほか,
そ/のまま,,そのまま,
そ/のまま\,,そのまま,
そ\ば,蕎麦・側,そば,
そ\ふ,祖父,そふ,
そ/ふ\ぼ,祖父母,そふぼ,
そ\ぼ,祖母,そぼ,
そ/ぼく,素朴,そぼく,
そ\まつ,粗末,そまつ,
そ/まる,染まる,そまる,
そ/める,染める,そめる,
そ\もそも,,そもそも,
そ\ら,空,そら,
そ\る,剃る・反る,そる,
そ/れ,,それ,
そ/れから\,,それから,
そ/れで\も,,それでも,
そ/れな\ら,,それなら,
そ/れに,,それに,
そ/れま\で,,それまで,
そ/ろ\う,揃う,そろう,
そ/ろえ\る,揃える,そろえる,
そ\ろそろ,,そろそろ,
そ/ろばん,算盤,そろばん,
そ\わそわ,,そわそわ,
そ/んがい,損害,そんがい,
そ/んがいば\いしょう,損害賠償,そんがいばいしょう,
そ/んけい,尊敬,そんけい,
そ/んざい,存在,そんざい,
そ/んしつ,損失,そんしつ,
そ/んしょう,損傷,そんしょう,
そ/んぞく,存続,そんぞく,
そ\んたく,忖度,そんたく,
そ\んちょう,村長,そんちょう,
そ/んちょう,尊重,そんちょう,
そ\んとく,損得,そんとく,
ぞ\う,象,ぞう,
ぞ/ういん,増員,ぞういん,
ぞ/うえん,造園・増援,ぞうえん,
ぞ\うお,憎悪,ぞうお,
ぞ/うか,増加・造花,ぞうか,
ぞ/うか\いちく,増改築,ぞうかいちく,
ぞ/うかん,増刊,ぞうかん,
ぞ/うがく,増額,ぞうがく,
ぞ/うきば\やし,雑木林,ぞうきばやし,
ぞ/うきょう,増強,ぞうきょう,
ぞ/うきん,雑巾,ぞうきん,
ぞ/うきんがけ,雑巾掛け,ぞうきんがけ,
ぞ/うけい,造型,ぞうけい,
ぞ/うご,造語,ぞうご,
ぞ/うさん,増産,ぞうさん,
ぞ/うしゅう,増収,ぞうしゅう,
ぞ/うしゅ\うわい,贈収賄,ぞうしゅうわい,
ぞ/うぜい,増税,ぞうぜい,
ぞ/うだい,増大,ぞうだい,
ぞ/うちく,増築,ぞうちく,
ぞ/うてい,贈呈,ぞうてい,
ぞ/うに,雑煮,ぞうに,
ぞ/うふく,増幅,ぞうふく,
ぞ\うよ,贈与,ぞうよ,
ぞ/うよ\ぜい,贈与税,ぞうよぜい,
ぞ/うりょう,増量,ぞうりょう,
ぞ/くご,俗語,ぞくご,
ぞ/くしゅつ,続出,ぞくしゅつ,
ぞ\くぞく,,ぞくぞく,
ぞ/くぞく,続々,ぞくぞく,
ぞ/くとう,続投,ぞくとう,
ぞ/くに,俗に,ぞくに,
ぞ/くへん,続編,ぞくへん,
ぞ/くほう,続報,ぞくほう,
ぞ/っこう,続行,ぞっこう,
ぞ/っと,,ぞっと,
ぞ\りぞり,,ぞりぞり,
ぞ\ろぞろ,,ぞろぞろ,
ぞ/んじ\る,存じる,ぞんじる,
た/いいく\かん,体育館,たいいくかん,
た/いいん,退院,たいいん,
た\いおん,体温,たいおん,
た/いおんけい,体温計,たいおんけい,
た/いかい,大会,たいかい,
た\いが,大河,たいが,
た/いがド\ラマ,大河ドラマ,たいがドラマ,
た/いし\かん,大使館,たいしかん,
た/いしゃ,退社・代謝,たいしゃ,
た/いせつ,大切,たいせつ,
た/いてい,大抵,たいてい,
た/いふ\う,台風,たいふう,
た/いへん,大変,たいへん,
た\いよう,太陽,たいよう,
た/いわ\ん,台湾,たいわん,
た/おれ\る,倒れる,たおれる,
た/か\い,高い,たかい,
た/かぎ,高木,たかぎ,
た\かさ,高さ,たかさ,
た/か\すぎ,高杉,たかすぎ,
た/かた,高田,たかた,
た/かだ,高田,たかだ,
た\かの,高野,たかの,
た/か\はし,高橋,たかはし,
た/か\まつ,高松,たかまつ,
た/かまつ\し,高松市,たかまつし,
た/から\くじ,宝くじ,たからくじ,
た/くさ\ん,,たくさん,
た/くさん,,たくさん,
た/くはいびん,宅配便,たくはいびん,
た\ぐち,田口,たぐち,
た/け\うち,竹内,たけうち,
た/けだ,武田,たけだ,
た/けのこ,筍,たけのこ,
た/こやき,たこ焼き,たこやき,
た\しか,確か,たしか,
た/しかめ\る,確かめる,たしかめる,
た/じま,田島,たじま,
た/す,足す,たす,
た/すか\る,助かる,たすかる,
た/すけ\る,助ける,たすける,
た/たかう,戦う,たたかう,
た/たみ,畳,たたみ,
た\だ,,ただ,
た/だいま\,只今,ただいま,
た/だし\い,正しい,ただしい,
た/ちいりきんし,立入禁止,たちいりきんし,
た/ちよみ,立ち読み,たちよみ,
た/ったい\ま,たった今,たったいま,
た\つ,立つ・経つ,たつ,
た/て\もの,建物,たてもの,
た/て\る,建てる,たてる,
た/とえ\,,たとえ,
た/とえ,,たとえ,
た/と\えば,例えば,たとえば,
た/な,棚,たな,
た/なか,田中,たなか,
た\なべ,田辺,たなべ,
た/に\ぐち,谷口,たにぐち,
た\ね,種,たね,
た/のし\い,楽しい,たのしい,
た/のし\み,楽しみ,たのしみ,
た/のし\む,楽しむ,たのしむ,
た/の\む,頼む,たのむ,
た/ばこ,煙草,たばこ,
た\ぶん,多分,たぶん,
た/べほ\うだい,食べ放題,たべほうだい,
た/べも\の,食べ物,たべもの,
た/べ\る,食べる,たべる,
た\まき,玉木・玉置,たまき,
た/ま\ご,卵,たまご,
た/まに,偶に,たまに,
た/まね\ぎ,玉葱,たまねぎ,
た\むら,田村,たむら,
た/りる,足りる,たりる,
た/んご,単語,たんご,
た/んじょ\うび,誕生日,たんじょうび,
た/んす,箪笥,たんす,
た/んぼ,田んぼ,たんぼ,
だ\い,台,だい,
だ/いがく,大学,だいがく,
だ/いがく\いん,大学院,だいがくいん,
だ/いがくい\んせい,大学院生,だいがくいんせい,
だ/いが\くせい,大学生,だいがくせい,
だ\いきらい,大嫌い,だいきらい,
だ/いじ\,大事,だいじ,
だ/いじょ\うぶ,大丈夫,だいじょうぶ,
だ\いじん,大臣,だいじん,
だ\いすき,大好き,だいすき,
だ/いたい,,だいたい,
だ/いと\うりょう,大統領,だいとうりょう,
だ/いどころ,台所,だいどころ,
だ\す,出す,だす,
だ/っかい,脱会・奪回,だっかい,
だ/っしゅつ,脱出,だっしゅつ,
だ/っしょく,脱色,だっしょく,
だ/ついじょ,脱衣所,だついじょ,
だ/つぜい,脱税,だつぜい,
だ/つらく,脱落,だつらく,
だ/て,伊達,だて,
だ/め\,駄目,だめ,
だ\れ,誰,だれ,
だ\れか,誰か,だれか,
だ/れでも,誰でも,だれでも,
だ/れも,誰も,だれも,
だ/んせい,男性,だんせい,
だ/んだん,,だんだん,
だ/んな,旦那,だんな,
だ/んぼう,暖房,だんぼう,
だ/んボ\ール,段ボール,だんボール,
だ/んボール\ばこ,段ボール箱,だんボールばこ,
ち/いさ\い,小さい,ちいさい,
ち\いさな,小さな,ちいさな,
ち\か,地下,ちか,
ち/か\い,近い,ちかい,
ち/か\がい,地下街,ちかがい,
ち/か\く,近く,ちかく,
ち/かてつ,地下鉄,ちかてつ,
ち/か\みち,近道,ちかみち,
ち/から\,力,ちから,
ち/がう,違う,ちがう,
ち/きゅう,地球,ちきゅう,
ち/こく,遅刻,ちこく,
ち\ず,地図,ちず,
ち/ち\,父,ちち,
ち/っと\も,,ちっとも,
ち\ば,千葉,ちば,
ち/ば,千葉,ちば,
ち/ば\けん,千葉県,ちばけん,
ち/ば\し,千葉市,ちばし,
ちゃ/いろ,茶色,ちゃいろ,
ちゃ/いろい,茶色い,ちゃいろい,
ちゃ/わん,茶碗,ちゃわん,
ちゃ/んと,,ちゃんと,
ちゅ\うい,注意,ちゅうい,
ちゅ/うお\うく,中央区,ちゅうおうく,
ちゅ/うが\くせい,中学生,ちゅうがくせい,
ちゅ/うが\っこう,中学校,ちゅうがっこう,
ちゅ\うごく,中国,ちゅうごく,
ちゅ\うごく,中国,ちゅうごく,
ちゅ/うごくご,中国語,ちゅうごくご,
ちゅ/うごく\じん,中国人,ちゅうごくじん,
ちゅ/うごくち\ほう,中国地方,ちゅうごくちほう,
ちゅ/うし,中止,ちゅうし,
ちゅ/うしゃ,駐車・注射,ちゅうしゃ,
ちゅ/うしゃい\はん,駐車違反,ちゅうしゃいはん,
ちゅ/うしゃきんし,駐車禁止,ちゅうしゃきんし,
ちゅ/うしゃじょう,駐車場,ちゅうしゃじょう,
ちゅ\うぶ,中部,ちゅうぶ,
ちゅ/うぶち\ほう,中部地方,ちゅうぶちほう,
ちゅ/うべい,中米,ちゅうべい,
ちゅ/うもん,注文,ちゅうもん,
ちゅ/うりんじょう,駐輪場,ちゅうりんじょう,
ちょ/うこく,彫刻,ちょうこく,
ちょ\うさ,調査,ちょうさ,
ちょ/うし,調子,ちょうし,
ちょ/うせつ,調節,ちょうせつ,
ちょ/うどい\い,丁度良い,ちょうどいい,
ちょ\うなん,長男,ちょうなん,
ちょ/うみ\りょう,調味料,ちょうみりょう,
ちょ/きん,貯金,ちょきん,
ちょ/くせつ,直接,ちょくせつ,
ちょ\っと,,ちょっと,
ち/よだ\く,千代田区,ちよだく,
ち/りょう,治療,ちりょう,
ち\んたい,賃貸,ちんたい,
つ\,津,つ,
つ/いたち,1日・一日,ついたち,
つ/うきん,通勤,つうきん,
つ/うしん,通信,つうしん,
つ\うろ,通路,つうろ,
つ/うわ,通話,つうわ,
つ/うわちゅう,通話中,つうわちゅう,
つ/かう,使う,つかう,
つ/かれ\る,疲れる,つかれる,
つ/き\,月,つき,
つ/きあたり,突き当り,つきあたり,
つ/ぎ\,次,つぎ,
つ\く,着く・点く,つく,
つ/くえ,机,つくえ,
つ/く\る,作る,つくる,
つ/け\る,付ける・点ける,つける,
つ/ごう,都合,つごう,
つ\し,津市,つし,
つ/じ,辻,つじ,
つ/たえる,伝える,つたえる,
つ/だ,津田,つだ,
つ/ちや,土屋,つちや,
つ/つ\む,包む,つつむ,
つ/づく,続く,つづく,
つ/づける,続ける,つづける,
つ/とめ\る,務める・勤める・努める,つとめる,
つ\ば,唾,つば,
つ\ま,妻,つま,
つ/まみ,摘み,つまみ,
つ/まら\ない,詰まらない,つまらない,
つ/む,積む,つむ,
つ/め,爪,つめ,
つ/めき\り,爪切り,つめきり,
つ/めたい,冷たい,つめたい,
つ/ゆ,梅雨,つゆ,
つ\ゆ,露,つゆ,
つ/ゆあけ,梅雨明け,つゆあけ,
つ/ゆいり,梅雨入り,つゆいり,
つ/よ\い,強い,つよい,
つ/り,釣り,つり,
つ/れていく,連れて行く,つれていく,
つ/れてく\る,連れて来る,つれてくる,
て\,手,て,
て/いきゅ\うび,定休日,ていきゅうび,
て/いしょく,定食,ていしょく,
て/いでん,停電,ていでん,
て\いねい,丁寧,ていねい,
て/がみ,手紙,てがみ,
て/きとう,適当,てきとう,
て/ちょう,手帳,てちょう,
て/つだ\う,手伝う,てつだう,
て/つや,徹夜,てつや,
て/づか,手塚,てづか,
て\にいれる,手に入れる,てにいれる,
て/ぶ\くろ,手袋,てぶくろ,
て/まえ,手前,てまえ,
て/ら\,寺,てら,
て/らだ,寺田,てらだ,
て/りょ\うり,手料理,てりょうり,
て/んいん,店員,てんいん,
て\んき,天気,てんき,
て/んきよ\ほう,天気予報,てんきよほう,
て/んきん,転勤,てんきん,
て/んしょく,転職,てんしょく,
て\んちょう,店長,てんちょう,
て/んぷら,天ぷら,てんぷら,
で/いり\ぐち,出入口,でいりぐち,
で/かける,出かける,でかける,
で/き\る,出来る,できる,
で/きるだけ,,できるだけ,
で\ぐち,出口,でぐち,
で\すから,,ですから,
で\は,,では,
で/まえ,出前,でまえ,
で\も,,でも,
で\る,出る,でる,
で\わ,,でわ,
で\んき,電気,でんき,
で/んしゃ,電車,でんしゃ,
で/んしメ\ール,電子メール,でんしメール,
で/んしレ\ンジ,電子レンジ,でんしレンジ,
で/んたく,電卓,でんたく,
で\んち,電池,でんち,
で\んぱ,電波,でんぱ,
で/んわ,電話,でんわ,
で/んわだい,電話代,でんわだい,
と/うかい,東海,とうかい,
と/うかいち\ほう,東海地方,とうかいちほう,
と/うきょう,東京,とうきょう,
と/うきょ\うと,東京都,とうきょうと,
と/うけい,統計,とうけい,
と/うこう,登校・投稿,とうこう,
と/うちゃく,到着,とうちゃく,
と/うふ\,豆腐,とうふ,
と/うほく,東北,とうほく,
と/うほくち\ほう,東北地方,とうほくちほう,
と/うろく,登録,とうろく,
と/おい,遠い,とおい,
と/おく,遠く,とおく,
と/おやま,遠山,とおやま,
と\おる,通る,とおる,
と/かい,都会,とかい,
と\がわ,戸川,とがわ,
と/き\,時,とき,
と/きどき,時々,ときどき,
と\く,解く,とく,
と/く\い,得意,とくい,
と/く\しま,徳島,とくしま,
と/くしま\けん,徳島県,とくしまけん,
と/くしま\し,徳島市,とくしまし,
と/くべつ,特別,とくべつ,
と/けい,時計,とけい,
と/こや,床屋,とこや,
と/ころ\,所,ところ,
と/ころ\で,,ところで,
と\ざん,登山,とざん,
と\し,都市,とし,
と/しょ\かん,図書館,としょかん,
と/だ,戸田,とだ,
と/ち,土地,とち,
と\ちぎ,栃木,とちぎ,
と/ちぎ\けん,栃木県,とちぎけん,
と/ちゅう,途中,とちゅう,
と/っきゅう,特急,とっきゅう,
と/っとり,鳥取,とっとり,
と/っとり\けん,鳥取県,とっとりけん,
と/っとり\し,鳥取市,とっとりし,
と/ても,,とても,
と/ど\く,届く,とどく,
と/どけ\る,届ける,とどける,
と/なり,隣,となり,
と/ぶ,飛ぶ,とぶ,
と/まる,止まる・泊まる・停まる,とまる,
と/める,止める・泊める・停める,とめる,
と/もだち,友達,ともだち,
と\やま,富山,とやま,
と/やま\けん,富山県,とやまけん,
と/やま\し,富山市,とやまし,
と/よ\かわ,豊川,とよかわ,
と\よた,豊田,とよた,
と\よた,豊田,とよた,
と/よた\し,豊田市,とよたし,
と/よなか,豊中,とよなか,
と/よなか\し,豊中市,とよなかし,
と/よ\はし,豊橋,とよはし,
と/よはし\し,豊橋市,とよはしし,
と/らえ\る,捕らえる・捉える,とらえる,
と/り,鳥,とり,
と/りかえる,取り替える,とりかえる,
と/りにく,鶏肉,とりにく,
と/り\ひき,取引,とりひき,
と/りひきさき,取引先,とりひきさき,
と\る,取る・撮る・盗る,とる,
と/れ\る,取れる,とれる,
ど\う,,どう,
ど\ういう,,どういう,
ど/うが,動画,どうが,
ど/うぐ\,道具,どうぐ,
ど\うして,,どうして,
ど\うぞ,,どうぞ,
ど/うぶつ,動物,どうぶつ,
ど/うぶつ\えん,動物園,どうぶつえん,
ど\うゆう,,どうゆう,
ど/うりょう,同僚,どうりょう,
ど/くしん,独身,どくしん,
ど\こ,,どこ,
ど\こか,何処か,どこか,
ど\ちら,,どちら,
ど\っち,,どっち,
ど\の,,どの,
ど/よ\うび,土曜日,どようび,
ど\れ,,どれ,
ど/ろぼう,泥棒,どろぼう,
ど\んな,,どんな,
ど/んぶり,丼,どんぶり,
な\い,,ない,
な/いか,内科,ないか,
な\いかく,内閣,ないかく,
な\いかくそ/うりだ\いじん,内閣総理大臣,ないかくそうりだいじん,
な/いしょ\,内緒,ないしょ,
な/いしょく,内職,ないしょく,
な/いしょば\なし,内緒話,ないしょばなし,
な/いそう,内装,ないそう,
な/いぞう,内臓,ないぞう,
な\いぶ,内部,ないぶ,
な/いよう,内容,ないよう,
な/お\す,治す・直す,なおす,
な/お\る,治る・直る,なおる,
な\か,中,なか,
な/かおか,中岡,なかおか,
な\かが/い\い,仲が良い,なかがいい,
な/か\がわ,中川,なかがわ,
な/か\しま,中島,なかしま,
な/かじま,中島,なかじま,
な/かた,中田,なかた,
な/か\たに,中谷,なかたに,
な/かなか,,なかなか,
な/か\にし,中西,なかにし,
な/かにわ\,中庭,なかにわ,
な/かの,中野,なかの,
な/かば\,半ば,なかば,
な/かま\,仲間,なかま,
な/か\み,中身,なかみ,
な/かむら,中村,なかむら,
な/かやま,中山,なかやま,
な/か\ゆび,中指,なかゆび,
な\かよくする,仲良くする,なかよくする,
な\がい,永井・長井,ながい,
な/が\い,長い,ながい,
な/がい\き,長生き,ながいき,
な/がぐつ,長靴,ながぐつ,
な\がさ,長さ,ながさ,
な/が\さき,長崎,ながさき,
な/がさき\けん,長崎県,ながさきけん,
な/がさき\し,長崎市,ながさきし,
な/がしま,長島,ながしま,
な/が\す,流す,ながす,
な/がた,永田・長田,ながた,
な/がつ\づき,長続き,ながつづき,
な/がな\が,,ながなが,
な/がねん,長年,ながねん,
な\がの,長野,ながの,
な/がの\けん,長野県,ながのけん,
な/がの\し,長野市,ながのし,
な/がば\なし,長話,ながばなし,
な/がび\く,長引く,ながびく,
な/がめ\,眺め,ながめ,
な/がめ\る,眺める,ながめる,
な/がれ\,流れ,ながれ,
な/がれ\る,流れる,ながれる,
な/きがお,泣き顔,なきがお,
な/きご\え,泣き声・鳴き声,なきごえ,
な/きむ\し,泣き虫,なきむし,
な/く,泣く,なく,
な/くす,無くす,なくす,
な/くなる,亡くなる・無くなる,なくなる,
な/ぐさめ\る,慰める,なぐさめる,
な/ぐ\る,殴る,なぐる,
な/げ\る,投げる,なげる,
な/ご\む,和む,なごむ,
な\ごや,名古屋,なごや,
な/ごや\し,名古屋市,なごやし,
な\さけ,情け,なさけ,
な/さけな\い,情けない,なさけない,
な/さけぶか\い,情け深い,なさけぶかい,
な/さそ\う,,なさそう,
な/さ\る,,なさる,
な\す,茄子,なす,
な\ぜ,何故,なぜ,
な/ぞ,謎,なぞ,
な/ぞなぞ,,なぞなぞ,
な/だれ,雪崩,なだれ,
な/っと\う,納豆,なっとう,
な/っとく,納得,なっとく,
な/つ\,夏,なつ,
な/つかし\い,懐かしい,なつかしい,
な/つ\び,夏日,なつび,
な/つふく,夏服,なつふく,
な/つや\すみ,夏休み,なつやすみ,
な/で\しこ,撫子,なでしこ,
な/な\め,斜め,ななめ,
な\に,何,なに,
な\にか,何か,なにか,
な/にも,何も,なにも,
な\は,那覇,なは,
な/は\し,那覇市,なはし,
な\べ,鍋,なべ,
な/べりょ\うり,鍋料理,なべりょうり,
な\ま,生,なま,
な/まいき,生意気,なまいき,
な/まえ,名前,なまえ,
な/まけ\る,怠ける,なまける,
な/まごみ,生ごみ,なまごみ,
な/まざ\かな,生魚,なまざかな,
な/まず,鯰,なまず,
な/また\まご,生卵,なまたまご,
な/まなまし\い,生々しい,なまなましい,
な/まぬる\い,生ぬるい,なまぬるい,
な/ま\みず,生水,なまみず,
な/まや\さい,生野菜,なまやさい,
な/まり\,訛り,なまり,
な/まり,鉛,なまり,
な/ま\る,訛る・鈍る,なまる,
な/まクリ\ーム,生cream,なまクリーム,
な/まビ\ール,生ビール,なまビール,
な/み\,波,なみ,
な/み,並,なみ,
な/みき\みち,並木道,なみきみち,
な\みだ,涙,なみだ,
な/め\らか,滑らか,なめらか,
な/め\る,舐める,なめる,
な/やみ\,悩み,なやみ,
な/や\む,悩む,なやむ,
な\ら,奈良,なら,
な/らいごと,習い事,ならいごと,
な/ら\う,習う,ならう,
な/ら\けん,奈良県,ならけん,
な/ら\し,奈良市,ならし,
な/らぶ,並ぶ,ならぶ,
な/らべる,並べる,ならべる,
な\りた,成田,なりた,
な/りたく\うこう,成田空港,なりたくうこう,
な/りた\し,成田市,なりたし,
な/る,鳴る,なる,
な\る,成る,なる,
な/れなれし\い,馴れ馴れしい,なれなれしい,
な/れ\る,慣れる,なれる,
な\ん,何,なん,
な/んい\ど,難易度,なんいど,
な\んえん,何円,なんえん,
な\んかい,何回,なんかい,
な/んか\げつ,何か月,なんかげつ,
な/んか\こく,何か国,なんかこく,
な/んか\しょ,何か所,なんかしょ,
な\んがつ,何月,なんがつ,
な/んきょく,南極,なんきょく,
な\んさい,何歳,なんさい,
な\んじ,何時,なんじ,
な/んじ\かん,何時間,なんじかん,
な\んてん,何点,なんてん,
な\んでも,何でも,なんでも,
な/んでもな\い,何でもない,なんでもない,
な/んとな\く,何となく,なんとなく,
な\んど,何度,なんど,
な\んにち,何日,なんにち,
な\んにん,何人,なんにん,
な\んねん,何年,なんねん,
な/んばい,何倍,なんばい,
な\んばん,何番,なんばん,
な\んぷん,何分,なんぷん,
な/んべい,南米,なんべい,
な\んぼん,何本,なんぼん,
な\んまい,何枚,なんまい,
な/んよ\うび,何曜日,なんようび,
な\んドル,何ドル,なんドル,
に/あ\う,似合う,にあう,
に/いがた,新潟,にいがた,
に/いがた\けん,新潟県,にいがたけん,
に/いがた\し,新潟市,にいがたし,
に\いさん,兄さん,にいさん,
に/いづま,新妻,にいづま,
に/いやま,新山,にいやま,
に/える,煮える,にえる,
に/お\い,匂い・臭い,におい,
に/お\う,匂う・臭う,におう,
に/かいだて,二階建,にかいだて,
に/が\い,苦い,にがい,
に/がおえ,似顔絵,にがおえ,
に/が\す,逃がす,にがす,
に/がて,苦手,にがて,
に/がわ\らい,苦笑い,にがわらい,
に\きび,,にきび,
に/ぎ\やか,賑やか,にぎやか,
に/ぎる,握る,にぎる,
に/く\,肉,にく,
に/く\い,憎い,にくい,
に/くしん,肉親,にくしん,
に/くたい,肉体,にくたい,
に/くだ\んご,肉団子,にくだんご,
に/くまれ\る,憎まれる,にくまれる,
に/くまん,肉まん,にくまん,
に/く\む,憎む,にくむ,
に/ぐん,二軍,にぐん,
に/げ\る,逃げる,にげる,
に\こにこ,,にこにこ,
に/こ\む,煮込む,にこむ,
に/ご\す,濁す,にごす,
に/ご\る,濁る,にごる,
に/さんかた\んそ,二酸化炭素,にさんかたんそ,
に/し,西,にし,
に/し\かわ,西川,にしかわ,
に/しがわ,西側,にしがわ,
に\しだ,西田,にしだ,
に/しにほ\ん,西日本,にしにほん,
に\しの,西野,にしの,
に/しのみや,西宮,にしのみや,
に/しのみや\し,西宮市,にしのみやし,
に/しび,西日,にしび,
に/し\むら,西村,にしむら,
に/じ,虹,にじ,
に/じかい,二次会,にじかい,
に/じ\む,滲む,にじむ,
に/せがね,偽金,にせがね,
に/せさつ,偽札,にせさつ,
に/せもの,偽者,にせもの,
に/せる,似せる,にせる,
に/だい,荷台,にだい,
に\ちえい,日英,にちえい,
に\ちごう,日豪,にちごう,
に\ちじ,日時,にちじ,
に/ちじょう,日常,にちじょう,
に/ちじょうてき,日常的,にちじょうてき,
に\ちどく,日独,にちどく,
に\ちふつ,日仏,にちふつ,
に\ちべい,日米,にちべい,
に/ちよ\うび,日曜日,にちようび,
に\ちろ,日露,にちろ,
に/っか,日課,にっか,
に\っかん,日韓,にっかん,
に/っき,日記,にっき,
に/っきちょう,日記帳,にっきちょう,
に/っきゅう,日給,にっきゅう,
に\っこう,日光,にっこう,
に/っこ\り,,にっこり,
に/っし,日誌,にっし,
